Wavelength,FluxDens1,FluxDens2,r_a,r_b,T_r,N_r,pix,res,dis,,,,,,,,
4.20184,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20186,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20188,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2019,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20192,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20194,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20196,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20198,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.202,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20202,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20204,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20206,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20208,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2021,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20212,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20214,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20216,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20218,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2022,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20222,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20224,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20226,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20228,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2023,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20232,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20234,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20236,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20238,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2024,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20242,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20244,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20246,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20248,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2025,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20252,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20254,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20256,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20258,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2026,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20262,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20264,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20266,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20268,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2027,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20272,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20274,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20276,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20278,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2028,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20282,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20284,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20286,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20288,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2029,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20292,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20294,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20296,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20298,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.203,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20302,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20304,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20306,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20308,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2031,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20312,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20314,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20316,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20318,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2032,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20322,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20324,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20326,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20328,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2033,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20332,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20334,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20336,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20338,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2034,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20342,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20344,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20346,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20348,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2035,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20352,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20354,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20356,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20358,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2036,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20362,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20364,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20366,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20368,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2037,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20372,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20374,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20376,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20378,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2038,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20382,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20384,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20386,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20388,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2039,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20392,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20394,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20396,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20398,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.204,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20402,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20404,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
