Star,Mstar_final,logMacc_final
J11241186-7630425,0.077,-10.17
J11432669-7804454,0.115,-8.356
J162034.2-242613,,
J162118.5-225458,,
J162131.9-230140,,
J162138.7-225328,,
J162142.0-231343,,
J162145.1-234232,,
J162148.5-234027,,
J162157.7-242943,,
J162218.5-232148,,
J162221.0-230402,,
J162225.0-232955,,
J162225.2-240514,,
J162235.6-233734,,
J162241.8-242538,,
J162244.9-231713,,
J162245.4-243124,,
J162247.2-230013,,
J162248.6-230218,,
J162259.8-232635,,
J162305.4-230257,,
J162305.9-233818,,
J162306.9-225737,,
J162308.8-225743,,
J162309.2-241705,,
J162313.7-230358,,
J162315.6-234300,,
J162332.2-242554,,
J162332.8-225847,,
J162334.8-234030,,
J162336.1-240221,,
J162338.5-230545,,
J162350.5-225838,,
J162413.5-241822,,
J162415.9-241115,,
J162435.2-242620,0.188,-105.2
J162452.3-250127,,
J162453.0-250556,,
J162459.8-245601,0.237,-105.5
J162502.1-245932 b,0.292,-105.6
J162502.1-245932,0.292,-105.6
J162506.2-244657,0.099,-105.5
J162506.9-235050,,
J162522.1-241751,0.191,-105.6
J162522.6-243453,,
J162524.3-242944,0.191,-105.4
J162525.7-243708,,
J162527.6-243648,,
J162532.5-232626,,
J162533.2-232530,,
J162535.5-243210,0.188,-105.6
J162536.7-241542,0.84,-8.64
J162538.1-242236 b,,
J162538.1-242236,,
J162539.4-232642,,
J162539.6-242635,0.376,-7.694
J162542.9-232526,,
J162546.6-242336,,
J162556.1-242048,0.61,-6.88
J162601.4-242520,,
J162603.0-242336,,
J162604.6-241751,0.149,-10.06
J162607.0-242724,,
J162609.9-243354,,
J162610.3-242055,0.615,-7.562
J162616.8-242223,0.54,-8.08
J162617.1-242021,0.64,-8.45
J162617.2-242345,,
J162618.1-243033,0.1,-105.2
J162618.6-242951,0.028,-105.1
J162618.8-242610,0.058,-8.998
J162618.9-242820,0.5875,-6.711
J162619.0-242414,0.135,-105.1
J162619.5-243727,0.153,-105.4
J162620.8-242839,,
J162621.0-240847,0.045,-105.2
J162621.5-242601,0.103,-9.701
J162621.9-244440,,
J162622.3-242407,0.037,-10.38
J162622.9-242846,0.1,-105.2
J162623.4-242101 b,2.01,-7.91
J162623.4-242101,2.01,-7.91
J162623.6-242439,0.69,-8.5
J162623.7-244314,0.62,-8.94
J162623.8-241829,0.063,-105.6
J162624.0-242448,0.9499,-7.728
J162624.1-241613,0.9399,-6.225
J162625.5-242301,,
J162627.5-244154,,
J162627.8-242642,,
J162630.4-242257,,
J162633.0-240017,0.149,-105.5
J162636.2-240509,0.049,-105.2
J162636.8-241552,0.631,-9.574
J162637.1-241560 b,0.124,-105.4
J162637.1-241560,0.124,-105.4
J162637.8-242301,,
J162637.8-243903,0.071,-105.3
J162640.5-242714,,
J162640.8-243051,0.066,-105.3
J162641.2-244018,0.2075,-8.802
J162642.1-243103,,
J162642.9-242030 b,0.705,-7.837
J162642.9-242030,0.705,-7.837
J162645.0-242308,0.557,-7.383
J162646.4-241160,1.56,-8.27
J162648.5-242839,,
J162648.5-242839 b,,
J162648.6-235634,0.7,-105.94
J162649.0-243825,0.292,-7.224
J162652.0-243039,,
J162653.5-243236,,
J162654.3-242438,,
J162654.4-242621,0.557,-8.954
J162654.8-242702,,
J162656.3-244120,,
J162656.8-241351,0.62,-105.91
J162657.3-243539,,
J162658.3-243741,,
J162658.4-242130,0.054,-10.94
J162658.4-244532,0.5875,-6.942
J162658.6-241835,0.152,-8.527
J162658.6-242455,,
J162659.0-243557,0.193,-8.555
J162703.0-242615,,
J162703.6-242005,,
J162704.1-242830,,
J162704.6-242716,,
J162705.2-243630,,
J162705.7-244013,,
J162706.0-242618,,
J162706.0-242836,0.137,-105.6
J162706.6-244149,0.114,-8.773
J162706.8-243815,,
J162709.1-241201,0.334,-9.264
J162709.1-243408,0.55,-7.98
J162709.3-244022,,
J162711.2-244047,,
J162711.7-243832,,
J162712.1-243449,0.432,-9.195
J162713.3-244133,,
J162713.7-241817,0.57,-8.699
J162713.8-244332,0.285,-8.255
J162714.5-242646,,
J162715.1-245139,0.378,-105.8
J162715.4-242640,,
J162715.4-242640 b,,
J162715.5-243054,,
J162715.9-242514,,
J162716.4-243114,,
J162717.6-240514,0.59,-8.685
J162717.6-242856,,
J162717.6-242856 b,,
J162717.6-242856 c,,
J162718.4-243915,,
J162718.5-242906,0.35,-8.46
J162719.2-242844,,
J162721.5-244143,,
J162721.8-242728,,
J162721.8-242953,,
J162723.0-244807,0.214,-105.4
J162724.6-242935,,
J162724.6-244103,,
J162726.2-241923,0.06,-9.307
J162726.3-244246,,
J162726.6-242554,0.033,-105.1
J162727.4-243117,0.32,-8.339
J162728.4-242721,0.55,-7.98
J162729.9-243336,,
J162730.2-242743,0.5975,-7.888
J162730.8-242456,0.263,-9.061
J162730.9-242733,,
J162732.1-242943,0.115,-105.2
J162732.6-243323,0.385,-8.88
J162732.7-244500,,
J162732.8-243235,0.281,-8.501
J162733.1-244115,0.875,-7.175
J162736.2-240458,0.073,-105.3
J162736.7-235827,,
J162737.2-244238,,
J162737.4-241755,0.076,-8.906
J162738.3-235732,0.69,-105.86
J162738.3-243658,0.65,-7.96
J162738.6-243839,,
J162738.9-244020,0.391,-8.953
J162739.0-235818,0.69,-105.85
J162739.4-243915,0.551,-7.892
J162739.8-244315,,
J162739.8-244315 b,,
J162740.1-242636,,
J162740.3-242204 b,,
J162740.3-242204,,
J162741.5-243538,,
J162741.6-244645,,
J162741.7-244336,,
J162741.8-244235,,
J162742.7-243851,0.292,-9.061
J162743.8-244308,,
J162745.0-240628,0.33,-106
J162745.8-244454,,
J162746.3-243141,0.1,-9.243
J162747.1-244535,0.144,-9.338
J162748.2-244225,,
J162749.3-242452,,
J162749.8-242522,0.1375,-7.908
J162751.8-243145,,
J162755.2-240215,,
J162755.2-242839,0.079,-9.975
J162755.6-242618,0.368,-8.17
J162758.9-243515,,
J162802.6-235504,,
J162804.5-243448,,
J162804.8-243710,,
J162804.8-245035,,
J162812.7-241136,0.15,-8.891
J162813.7-243139,,
J162813.8-243249,0.189,-9.096
J162816.5-243658,0.2075,-7.928
J162816.7-240514,0.76,-8.89
J162817.7-241705,0.091,-105.6
J162821.5-242155,,
J162821.7-244247,,
J162823.3-242241,0.69,-105.85
J162832.7-242245,,
J162845.3-242819 b,0.378,-105.1
J162845.3-242819,0.378,-105.1
J162847.0-242814,0.054,-105.4
J162848.7-242632,0.048,-105.5
J162854.1-244744,0.396,-105.7
J162856.0-233107,,
J162856.9-243110,0.092,-105.4
J162857.9-244055,,
J162903.2-242749,,
J162908.2-241547,,
J162935.1-243610,,
J162944.3-244122,,
J162948.3-233103,,
J162954.6-245846,,
J163019.8-240256,,
J163020.0-233108,,
J163023.4-245416,,
J163026.7-235909,,
J163033.9-242806,,
J163053.5-242454,,
J163102.4-240843,,
J163105.2-240440,,
J163115.7-243402,,
J163129.2-240431,,
J163130.9-242440 b,,
J163130.9-242440,,
J163131.2-242628,,
J163133.4-242737,,
J163133.8-240446,,
J163134.1-240060,,
J163134.3-240325,,
J163135.6-240129,,
J163136.8-240420,,
J163143.8-245525,,
J163144.6-240213,,
J163145.4-244307,,
J163145.8-243909,,
J163148.9-245429,,
J163152.1-245616,,
J163152.1-245616 b,,
J163152.5-245536,,
J163153.4-245505,,
J163154.4-250349,,
J163154.7-250324,,
J163159.3-245441,,
J163205.5-250236,,
J163211.8-244021,,
J163221.0-243036,,
J163221.9-244215,,
J163227.9-252502,,
J163355.6-244205,,
J163524.3-243359,,
J163945.4-240204,,
J163952.9-241931,,
J164424.3-240125,,
J164526.7-240305,,
IRAS 12416-7703,,
IRAS12496-7650,2.1,-106.15
IRAS12500-7658,,
Sz 46,0.464,-105.8
IRAS12535-7623,0.46,-105.53
SSTc2d J125758.7-770120,,
ISO-CHAII 13,0.038,-105.2
C41,,
Sz 48NE,0.532,-105.8
Sz 49,0.597,-106
Sz 48SW,0.485,-105.8
Sz 50,0.25,-8.786
J130059.3-771403,,
Sz 51,0.52,-105.8
CM Cha,0.61,-105.84
J13022287-7734494,0.116,-105.3
Hn 22,0.368,-105.7
Hn 23,0.75,-105.9
Sz 52,0.334,-105.7
Hn 24,0.551,-8.696
Hn 25,0.326,-105.5
Sz 53,0.47,-105.8
Sz 54,0.68,-105.69
J130521.7-773810,,
J130529.0-774140,,
SSTc2d J130540.8-773958,,
Sz 55,0.41,-105.9
Sz 56,0.22,-105.36
Sz 57,0.18,-105.1
Sz 58,0.8,-105.98
Sz 59,0.58,-105.74
J13071806-7740529,,
Sz 60E,0.195,-105.3
Hn 26,0.37,-105.7
Sz 61,0.71,-105.83
J13082714-7743232,0.149,-105.4
IRAS F13052-7653NW,0.596,-106
IRAS F13052-7653N,0.405,-105.7
Sz 62,0.33,-105.5
Sz 63,0.291,-105.5
Sz 64,0.13,-105.3
IRAS 04108+2910,0.299,-105.8
J04141188+2811535,0.052,-8.876
FM Tau,0.18,-8.082
FN Tau,0.27,-105.46
CW Tau,1.11,-106.23
CIDA 1,0.178,-8.033
MHO 1,0.374,-106.1
MHO 2 AB,,
MHO 3 AB,,
FP Tau,0.319,-105.6
CX Tau,0.326,-105.7
FO Tau A,0.2599,-105.4
FO Tau B,0.2824,-105.4
J04153916+2818586,0.204,-105.4
IRAS 04125+2902,0.459,-105.8
J04155799+2746175,0.109,-105.4
J04161210+2756385,0.119,-105.5
J04163911+2858491,0.081,-105.4
CY Tau,0.341,-8.204
KPNO 10,0.11,-105.4
V410 X-ray 1,0.216,-105.5
V409 Tau,0.52,-105.9
V410 Anon 13,0.108,-105.3
DD Tau A,0.2199,-105.2
DD Tau B,0.2824,-105.4
CZ Tau A,0.281,-105.4
CZ Tau B,0.281,-105.4
V410 X-ray 2,,
V892 Tau AB,,
LR 1,,
V410 X-ray 7 AB,,
V410 X-ray 6,0.1574,-105.1
KPNO 12,,
FQ Tau A,,
FQ Tau B,,
BP Tau,0.486,-7.29
V819 Tau,0.57,-105.8
FR Tau,0.122,-105.3
J04201611+2821325,0.046,-105.4
J04202144+2813491,,
J04202555+2700355,0.095,-105.4
IRAS 04173+2812,,
J04202606+2804089,0.245,-105.7
J04210795+2702204,,
J04210934+2750368,0.108,-105.3
J04213459+2701388,0.1274,-105.3
IRAS 04187+1927,0.3625,-105.4
J04214631+2659296,0.07,-105.3
DE Tau,0.326,-7.576
RY Tau,2.75,-7.55
T Tau N,2,-7.05
FS Tau A,0.251,-105.8
FS Tau B,0.251,-105.8
J04221675+2654570,0.385,-105.6
IRAS 04196+2638,0.452,-105.8
J04230607+2801194,0.061,-105.3
IRAS 04200+2759,0.454,-106.2
J04231822+2641156,,
FU Tau A,0.1099,-105.1
FU Tau B,0.105,-105
FT Tau,0.298,-105.5
J04242090+2630511,0.045,-105.5
J04242646+2649503,0.067,-105.3
IRAS 04216+2603,0.306,-105.6
IP Tau,0.508,-8.193
KPNO 3,0.058,-105.3
FV Tau A,,
FV Tau B,,
FV Tau/c A,0.583,-105.9
FV Tau/c B,0.2625,-105.4
KPNO 13,0.1624,-105.3
DF Tau AB,,
DG Tau,0.71,-6.839
J04284263+2714039 A,,
J04284263+2714039 B,,
J04290068+2755033,,
IRAS 04260+2642,,
IRAS 04263+2654,,
XEST 13-010,0.278,-105.5
DH Tau A,0.328,-105.6
DH Tau B,0.328,-105.5
IQ Tau,0.422,-105.6
J04295950+2433078,0.155,-105.3
UX Tau A,1.5,-106.15
KPNO 6,0.032,-10.88
FX Tau A,0.43,-105.52
FX Tau B,0.43,-105.52
DK Tau A,0.5224,-7.225
DK Tau B,0.4225,-105.3
ZZ Tau AB,0.2325,-105.3
ZZ Tau IRS,0.121,-105.5
KPNO 7,0.028,-105.3
JH 56,0.611,-106
XZ Tau A,0.272,-105.7
XZ Tau B,0.4,-105.9
HK Tau A,0.4,-105.7
HK Tau B,0.454,-105.7
V710 Tau A,0.254,-105.4
LkHalpha 267,,
Haro 6-13,0.73,-105.94
MHO 5,0.1,-10.47
MHO 6,0.116,-9.252
J04322415+2251083,0.149,-105.4
GG Tau Aa,,
GG Tau Ba,0.1075,-105.2
GG Tau Bb,0.1174,-105.3
FY Tau,0.526,-105.7
FZ Tau,0.514,-105.7
UZ Tau Wa,,
UZ Tau Wb,,
UZ Tau Eab,,
JH 112 Aa,0.84,-106.06
JH 112 Ba,0.2075,-105.4
J04324938+2253082,0.2125,-105.4
GH Tau A,0.343,-105.7
GH Tau B,0.374,-105.7
V807 Tau A,0.65,-105.4
J04330945+2246487,0.086,-105.1
IRAS 04301+2608,,
IRAS 04303+2240,0.557,-105.7
J04333278+1800436,0.52,-106
GI Tau,0.497,-7.855
GK Tau,0.58,-8.31
IS Tau A,0.357,-105.6
IS Tau B,0.583,-105.8
DL Tau,0.66,-7.19
J04333905+2227207,,
HN Tau A,0.84,-7.97
HN Tau B,0.1899,-105.2
J04334171+1750402,0.195,-105.6
J04334465+2615005,0.1775,-105.3
DM Tau,0.291,-7.992
CI Tau,0.65,-105.81
IT Tau A,0.8025,-105.7
IT Tau B,,
AA Tau,0.486,-7.635
HO Tau,0.275,-105.7
DN Tau,0.526,-8.185
CoKu Tau/3 A,0.48,-105.6
CoKu Tau/3 B,,
HQ Tau,1.27,-106.07
HP Tau,0.84,-106.15
Haro 6-28 A,0.291,-105.7
Haro 6-28 B,0.291,-105.7
J04362151+2351165,0.078,-105.7
ITG 1,,
J04381486+2611399,0.045,-105.7
GM Tau,0.112,-8.545
DO Tau,0.532,-7.572
HV Tau C,,
J04385859+2336351,0.153,-105.7
J04390163+2336029,0.125,-9.706
J04390396+2544264,0.057,-10.99
VY Tau A,0.413,-105.8
VY Tau B,0.361,-105.8
LkCa 15,0.7,-7.94
GN Tau A,0.326,-105.6
GN Tau B,0.335,-105.7
J04393364+2359212,0.114,-105.4
ITG 15,0.18,-105.2
CFHT 4,0.1,-105.2
J04400067+2358211,0.057,-105.3
IRAS 04370+2559,,
J04403979+2519061 AB,,
JH 223 A,0.306,-105.7
JH 223 B,0.306,-105.7
ITG 33A,0.33,-106
ITG 34,0.091,-105.4
CoKu Tau/4 AB,,
ITG 40,,
IRAS 04385+2550,0.638,-106.2
J04414489+2301513,0.025,-105.3
J04414825+2534304,0.032,-10.35
V955 Tau A,0.44,-105.69
V955 Tau B,0.54,-105.83
CIDA 7,0.147,-105.3
DP Tau A,0.57,-106.3
DP Tau B,0.563,-106.3
GO Tau,0.345,-105.8
CIDA 14,0.1525,-10.62
IRAS 04414+2506,0.08,-105.2
IRAS 04429+1550,0.326,-105.7
DQ Tau AB,,
Haro 6-37 A,0.59,-105.7
Haro 6-37 B,0.5099,-105.6
Haro 6-37 C,0.725,-105.4
DR Tau,0.6,-6.71
DS Tau,0.497,-7.305
UY Aur A,0.56,-7.26
UY Aur B,0.56,-105.78
St 34 AB,,
St 34 C,,
GM Aur,0.69,-7.97
J04554535+3019389,0.139,-105.4
AB Aur,3.13,-106.32
J04554801+3028050,0.086,-10.25
J04554969+3019400,0.059,-105.2
XEST 26-062,,
SU Aur,2.82,-8.13
XEST 26-071,0.254,-105.9
MWC 480,3.58,-106.28
V836 Tau,0.475,-9.143
CIDA 8,0.216,-105.5
CIDA 9 A,0.485,-106.5
CIDA 9 B,0.133,-105.8
CIDA 11,,
CIDA 11 B,,
RW Aur A,1.48,-7.07
RW Aur B,0.7549,-105.7
CIDA 12,0.227,-105.6
J04263055+2443558,,
V710 Tau B,0.405,-105.8
V807 Tau Bab,0.357,-105.5
J04361030+2159364,,
JH 112 Ab,,
JH 112 Bb,,
GG Tau Ab,,
CrA-1,,
CrA-3,,
CrA-4,0.036,-105.1
CrA-6,0.1975,-105.4
CrA-8,0.045,-105.2
CrA-9,0.464,-105.8
CrA-10,0.113,-105.7
CrA-12,0.058,-105.3
CrA-13,0.376,-105.8
CrA-15,0.212,-105.6
CrA-16,0.312,-105.6
CrA-18,0.403,-105.6
CrA-21,0.41,-106
CrA-22,0.097,-105.3
CrA-23,0.029,-105.3
CrA-26,0.029,-104.9
CrA-28,0.075,-105.5
CrA-29,,
CrA-30,0.47,-105.62
CrA-31,0.221,-105.5
CrA-33,,
CrA-35,0.11,-105.4
CrA-36,0.1,-105.2
CrA-40,0.145,-105.3
CrA-41,0.385,-105.6
CrA-42,,
CrA-45 E,,
CrA-46,,
CrA-47,0.036,-105.4
CrA-48,0.05,-105.5
CrA-52,0.532,-106.1
CrA-53,0.054,-105.3
CrA-54,0.725,-105.5
CrA-55,0.71,-106.02
CrA-56,0.146,-105.5
CrA-57,0.091,-105.4
S CrA N,,
T CrA,2.23,-106.25
TY CrA,3.99,-106.33
IRS 10,,
Halpha 15,0.21,-105.3
ISO-CrA 177,0.116,-105.9
Haas 4,,
Haas 17,,
LS-RCrA 1,,
G09 CrA-9,,
S CrA S,,
CrA-45 W,,

